word	pos_tok_MBOF	abs_tok_MBOF	pos_type_MBOF	abs_type_MBOF	es_pos_tok_MBPF	es_abs_tok_MBPF	es_pos_type_MBPF	es_abs_type_MBPF	
campo	7176.443186	24004.764408	3143.500000	14571.750000	7673.297109	24503.622190	3326.000000	15327.000000	
abanico	3368.634764	30208.294754	1939.833333	21149.000000	3960.854567	30219.728275	2139.000000	23800.166667	
cara	16737.041534	51295.275980	5746.666667	46256.666667	16835.183286	50605.398333	5557.666667	47900.333333	
globo	681.307489	13009.225098	585.000000	7207.000000	1178.594365	14011.167913	747.250000	7727.250000	
asamblea	1701.981301	20907.731623	1158.285714	16194.857143	1761.489999	21472.487227	1117.000000	16580.571429	
humo	3798.700242	8809.579809	1215.000000	8650.000000	863.043156	12979.535620	541.500000	12291.000000	
acta	5703.177998	28830.990595	2424.000000	16206.666667	7006.652516	24166.390006	2331.666667	15304.333333	
grito	4630.529076	22486.953067	1581.500000	12132.250000	4563.969374	19889.980025	1573.750000	11642.000000	
vigilia	3510.206850	13498.696941	1868.333333	9497.166667	2788.435755	8257.438055	1413.333333	5385.666667	
rincón	2863.166293	21432.185800	1234.000000	12003.600000	2674.379447	28179.137701	1527.800000	13759.600000	
mirada	6806.739522	33591.107768	2473.800000	23905.200000	7205.102536	31750.913700	2562.600000	23922.000000	
bota	4437.307092	20120.478063	1810.666667	13546.333333	6159.039587	20866.120650	2237.333333	13939.333333	
exposición	4363.729681	29647.665999	1797.111111	13034.000000	8116.157640	46248.502512	2939.444444	21321.333333	
peregrino	5140.764986	32262.968702	2654.250000	19029.875000	4718.347529	27339.089925	2428.250000	16302.500000	
espina	8449.763866	35802.051695	2899.600000	20569.800000	9852.154008	35767.528163	3847.200000	20347.400000	
calendario	5916.593413	42584.848641	4627.777778	29448.777778	5680.630207	39409.865973	4370.777778	25736.222222	
colega	10722.544150	23309.997443	4666.600000	16325.800000	11109.982218	22908.581543	4632.600000	15925.800000	
fuente	14110.628817	55275.485081	1751.800000	21490.600000	7780.248748	47990.969977	1550.800000	19867.200000	
inspector	3942.600944	23838.673995	2665.125000	12925.625000	3212.097626	22189.110931	2126.625000	11641.625000	
clavo	2030.998991	23429.933396	1000.500000	10510.250000	2617.448287	27111.260493	1444.750000	14887.750000	
